Year,Month,Precip_inches,state_cd
1986,7,3.89,AL
1986,8,4.42,AL
1986,9,3.83,AL
1986,10,4.3,AL
1986,11,8.86,AL
1986,12,3.73,AL
1987,1,6.09,AL
1987,2,7.27,AL
1987,3,4.97,AL
1987,4,0.92,AL
1987,5,4.44,AL
1987,6,5.89,AL
1987,7,3.29,AL
1987,8,3.71,AL
1987,9,2.94,AL
1987,10,0.59,AL
1987,11,4.04,AL
1987,12,3.98,AL
1988,1,5.38,AL
1988,2,3.91,AL
1988,3,4.06,AL
1988,4,3.99,AL
1988,5,1.73,AL
1988,6,1.23,AL
1988,7,6.66,AL
1988,8,3.42,AL
1988,9,9.15,AL
1988,10,3.19,AL
1988,11,5.41,AL
1988,12,2.97,AL
1989,1,4.49,AL
1989,2,4.31,AL
1989,3,6.51,AL
1989,4,4.43,AL
1989,5,4.54,AL
1989,6,10.94,AL
1989,7,7.76,AL
1989,8,2.44,AL
1989,9,4.8,AL
1989,10,3.03,AL
1989,11,6.06,AL
1989,12,5.89,AL
1990,1,8.44,AL
1990,2,8.57,AL
1990,3,8.96,AL
1990,4,3.39,AL
1990,5,4.95,AL
1990,6,2.93,AL
1990,7,3.75,AL
1990,8,1.92,AL
1990,9,1.9,AL
1990,10,2.66,AL
1990,11,2.94,AL
1990,12,6.46,AL
1991,1,7.33,AL
1991,2,5.22,AL
1991,3,7.05,AL
1991,4,6.85,AL
1991,5,9.57,AL
