Top5_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,Top5_Depth,Top5_Pb
C-312928,5167,UT,39.2891,-112.4188,06/19/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,11.7
C-313047,5275,UT,37.5263,-111.2305,07/03/08,Shrubland,Shrubland,0-5,9.7
C-312982,5435,UT,40.8216,-110.8007,06/15/08,Forested Upland,Mixed Forest,0-5,13.1
C-313017,5531,UT,39.5147,-109.5334,06/17/08,Shrubland,Shrubland,0-5,18.9
C-312947,5691,UT,40.6346,-110.9449,06/15/08,Forested Upland,Evergreen Forest,0-5,38.7
C-312944,5883,UT,40.3389,-112.5366,06/13/08,Shrubland,Shrubland,0-5,22.7
C-313060,5979,UT,39.5487,-111.6241,06/19/08,Planted/Cultivated,Pasture/Hay,0-5,12.9
C-312938,6111,UT,38.7273,-113.9318,06/25/08,Shrubland,Shrubland,0-5,14.6
C-312937,6139,UT,41.6819,-113.9665,06/11/08,Shrubland,Shrubland,0-5,25
C-312958,6191,UT,37.8254,-112.1097,06/26/08,Shrubland,Shrubland,0-5,13
C-312988,6299,UT,38.6943,-109.4028,06/30/08,Shrubland,Shrubland,0-5,14.8
N.S.,6395,UT,40.8334,-109.0755,06/16/08,Herbaceous Upland,Grasslands/Herbaceous,N.S.,
C-312996,6459,UT,40.3385,-109.6348,06/17/08,Shrubland,Shrubland,0-5,8.3
C-312997,6555,UT,39.4752,-110.2473,06/18/08,Shrubland,Shrubland,0-5,20
C-313004,6715,UT,40.9792,-111.4296,06/14/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,46.1
C-313059,6831,UT,37.2233,-112.1191,07/04/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,14.8
C-312981,6879,UT,37.6096,-113.9422,07/05/08,Forested Upland,Evergreen Forest,0-5,28.9
C-312965,6907,UT,39.9841,-112.4757,06/21/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,24.6
C-313046,7003,UT,38.6638,-110.7028,06/27/08,Shrubland,Shrubland,0-5,15.1
C-313028,7067,UT,39.3593,-109.0588,06/30/08,Shrubland,Shrubland,0-5,14.7
C-313019,7131,UT,37.2683,-111.0706,07/03/08,Shrubland,Shrubland,0-5,13.7
C-312995,7183,UT,39.6351,-113.8513,06/20/08,Shrubland,Shrubland,0-5,13.7
C-312966,7215,UT,37.2903,-112.4949,07/04/08,Shrubland,Shrubland,0-5,11.3
C-313051,7323,UT,37.5892,-110.1241,07/02/08,Shrubland,Shrubland,0-5,14
C-312930,7483,UT,39.776,-110.7067,06/18/08,Shrubland,Shrubland,0-5,24.8
C-312926,7579,UT,38.9677,-109.5259,06/30/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,16.2
C-313024,7739,UT,41.0579,-111.9053,06/10/08,Developed,Low Intensity Residential,0-5,30.1
C-313052,7771,UT,39.2641,-110.9833,06/27/08,Shrubland,Shrubland,0-5,133
C-313012,7903,UT,37.1686,-113.6141,07/05/08,Shrubland,Shrubland,0-5,14.3
C-313003,7931,UT,41.261,-113.1325,06/11/08,Barren,Bare Rock/Sand/Clay,0-5,13.2
C-312960,8027,UT,38.2636,-110.5795,06/28/08,Shrubland,Shrubland,0-5,7.6
C-312990,8155,UT,37.3997,-109.9939,07/01/08,Shrubland,Shrubland,0-5,11.5
C-312951,8159,UT,38.6601,-112.3308,06/22/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,24.8
C-313032,8239,UT,38.4415,-113.4741,06/24/08,Shrubland,Shrubland,0-5,14.4
C-312912,8347,UT,37.9229,-111.2344,06/28/08,Forested Upland,Evergreen Forest,0-5,18.2
C-312974,8495,UT,37.1997,-113.1623,07/07/08,Shrubland,Shrubland,0-5,11
C-313013,8507,UT,39.8774,-110.3913,06/18/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,23.7
C-312935,8603,UT,38.6505,-110.1581,06/28/08,Shrubland,Shrubland,0-5,13.4
C-312940,8763,UT,40.2566,-111.4946,06/14/08,Barren,Bare Rock/Sand/Clay,0-5,24.4
C-364528,8955,UT,39.8106,-113.1241,06/20/08,Shrubland,Shrubland,0-5,35.7
C-312918,9019,UT,41.8637,-111.5755,06/09/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,27.5
C-313001,9051,UT,39.0928,-111.6714,06/21/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,13.1
C-313041,9183,UT,39.238,-113.9251,06/25/08,Shrubland,Shrubland,0-5,16.5
C-313011,9211,UT,41.624,-113.3087,06/11/08,Shrubland,Shrubland,0-5,18.9
C-312920,9263,UT,39.4479,-112.7635,06/19/08,Barren,Bare Rock/Sand/Clay,0-5,13
C-313034,9371,UT,37.8875,-111.1055,06/28/08,Shrubland,Shrubland,0-5,15.6
C-312950,9627,UT,39.3284,-109.3776,06/17/08,Shrubland,Shrubland,0-5,17.4
C-313058,9787,UT,40.5546,-111.4887,06/14/08,Shrubland,Shrubland,0-5,29.2
C-313054,9979,UT,40.5139,-112.796,06/13/08,Shrubland,Shrubland,0-5,14.8
C-312993,10075,UT,39.1076,-111.6056,06/21/08,Forested Upland,Evergreen Forest,0-5,15.2
C-312923,10203,UT,37.2557,-110.9821,07/03/08,Shrubland,Shrubland,0-5,10.6
C-312959,10207,UT,38.2776,-113.7192,06/24/08,Shrubland,Shrubland,0-5,25.1
C-312917,10235,UT,41.3787,-113.2778,06/11/08,Shrubland,Shrubland,0-5,14.5
C-312953,10287,UT,37.8425,-112.5387,06/26/08,Shrubland,Shrubland,0-5,29.1
C-312962,10395,UT,37.5521,-109.9375,07/02/08,Shrubland,Shrubland,0-5,17.7
C-312957,10555,UT,40.4379,-109.8517,06/16/08,Shrubland,Shrubland,0-5,11.4
C-313505,10651,UT,39.4124,-110.4867,06/08/08,Shrubland,Shrubland,0-5,13.2
C-312934,10975,UT,37.9178,-113.7809,06/24/08,Shrubland,Shrubland,0-5,33.8
C-312914,11003,UT,39.7594,-112.3811,06/21/08,Shrubland,Shrubland,0-5,11.8
